query_id,table_id,gold_row,gold_col,group,hit@10,hit@50
1435,society-table39,3,1,full,1,1
1435,society-table39,6,1,full,1,1
1435,society-table39,7,1,full,1,1
1456,society-table44,11,0,full,0,1
1461,society-table45,8,0,partial,0,1
1462,society-table45,8,0,partial,1,1
1463,society-table45,21,0,partial,1,1
1465,society-table46,13,0,full,0,0
1467,society-table46,14,0,full,0,0
1468,society-table46,58,0,full,0,0
1490,education-table26,7,24,partial,0,0
1495,education-table27,6,24,partial,0,0
1497,education-table27,8,3,full,0,0
1503,education-table28,8,3,full,0,0
1529,medical-table03,17,1,full,1,1
1543,environment-table40,83,1,partial,0,1
1546,environment-table41,10,0,partial,1,1
1551,environment-table42,10,0,full,1,1
1565,science-table20,0,0,partial,0,0
1570,science-table21,0,0,partial,0,0
1586,society-table55,67,6,partial,0,0
1641,science-table33,2,2,full,1,1
1646,science-table34,5,2,full,1,1
1651,science-table35,6,7,partial,0,0
1662,science-table39,19,2,partial,1,1
1666,science-table40,97,1,partial,0,0
1671,science-table41,14,0,partial,1,1
1679,science-table43,5,1,full,1,1
1741,health-table30,0,2,full,1,1
1754,health-table32,21,9,partial,0,0
1757,health-table33,2,6,partial,0,0
1771,health-table36,30,1,partial,1,1
1776,health-table37,30,1,partial,1,1
1781,health-table38,30,1,partial,0,1
1793,health-table40,6,0,full,1,1
1809,health-table43,16,9,NOT_IN_ANY_CHUNK,0,0
1891,education-table17,0,19,partial,0,1
1937,society-table08,1,0,full,1,1
1946,society-table06,34,0,partial,0,1
1998,education-table23,7,2,partial,0,1
2001,food-table10,2,3,partial,1,1
2001,food-table10,2,4,partial,1,1
2002,food-table10,2,7,partial,1,1
2031,education-table36,3,2,full,1,1
2042,economy-table108,2,2,full,1,1
2067,society-table13,5,0,partial,0,0
2083,education-table24,40,3,partial,0,0
2093,labor-table66,16,4,partial,0,1
2097,labor-table65,26,2,partial,0,0
2114,labor-table57,72,3,partial,0,0
2116,labor-table56,85,4,partial,0,1
2127,labor-table54,45,2,partial,0,0
2159,labor-table61,10,1,full,1,1
2166,religion-table06,4,15,full,0,0
2170,religion-table06,23,1,full,1,1
2186,religion-table10,1,14,partial,1,1
2188,religion-table10,6,18,partial,1,1
2189,religion-table10,7,12,partial,1,1
2190,religion-table10,9,0,partial,0,0
2191,religion-table01,8,4,partial,0,0
2193,religion-table01,1,2,full,0,1
2197,religion-table02,20,1,full,0,0
2204,religion-table03,1,6,full,1,1
2204,religion-table03,1,9,full,1,1
2206,religion-table04,1,7,full,1,1
2210,religion-table04,8,16,partial,0,0
2221,business-table15,6,18,partial,0,0
2243,society-table60,0,0,full,1,1
2243,society-table60,0,2,full,1,1
2260,society-table63,12,0,partial,0,1
2266,economy-table117,2,0,full,1,1
2269,economy-table117,2,3,full,1,1
2270,economy-table117,2,7,full,1,1
2271,economy-table118,28,4,partial,1,1
2277,society-table64,2,18,partial,0,1
2305,agriculture-table09,0,5,full,1,1
2314,society-table68,15,15,partial,0,0
2314,society-table68,35,16,partial,0,0
2317,society-table69,2,13,partial,0,1
2319,society-table69,12,1,partial,0,0
2320,society-table69,6,8,partial,1,1
2320,society-table69,6,9,partial,1,1
2321,society-table69,6,8,partial,1,1
2323,society-table70,0,0,partial,0,1
2324,society-table70,0,1,partial,0,1
2329,society-table72,36,0,partial,1,1
2330,society-table72,37,0,partial,1,1
2333,society-table73,5,1,full,1,1
2337,society-table74,0,0,full,1,1
2342,society-table75,1,2,full,0,0
2356,sport-table13,2,2,full,0,0
2356,sport-table13,28,2,partial,0,0
2364,productivity-table07,8,2,full,1,1
2393,economy-table119,0,0,full,1,1
2393,economy-table119,19,0,full,1,1
2408,manufacture-table20,0,1,full,1,1
2408,manufacture-table20,1,1,full,1,1
2419,economy-table122,1,1,partial,1,1
2430,education-table33,0,1,partial,0,0
2470,economy-table126,15,4,partial,0,0
2497,labor-table49,7,0,full,1,1
2497,labor-table49,16,0,full,1,1
2497,labor-table49,23,0,full,1,1
2497,labor-table49,28,0,full,1,1
2497,labor-table49,35,0,full,1,1
2497,labor-table49,40,0,full,0,0
2497,labor-table49,47,0,full,0,0
2497,labor-table49,56,0,full,0,0
2497,labor-table49,64,0,full,0,0
2513,science-table52,10,0,partial,0,0
2514,science-table52,11,8,partial,0,0
2518,science-table53,10,0,partial,0,0
2523,science-table54,12,2,partial,0,0
2524,science-table54,11,7,partial,0,0
2550,science-table56,25,0,partial,1,1
2553,environment-table45,0,8,full,1,1
2617,science-table67,2,3,partial,0,1
2629,science-table70,0,1,full,1,1
2633,science-table71,0,1,full,1,1
2637,science-table72,0,1,full,1,1
