variant,Recall@1,nDCG@1,Recall@5,nDCG@5,Recall@10,nDCG@10,Hit@1,MRR
HART-full,0.45960502692998206,0.45960502692998206,0.8479952124476361,0.6784241036504984,0.9072411729503291,0.6976538363309234,0.45960502692998206,0.6287837337208971
HART-no-align,0.4566128067025733,0.4566128067025733,0.8467983243566727,0.6764436902836036,0.9060442848593656,0.6958853688473666,0.4566128067025733,0.6267221889753308
HART-no-depth,0.46020347097546377,0.46020347097546377,0.8473967684021544,0.6789300150997959,0.9078396169958108,0.6986720928309038,0.46020347097546377,0.6298856306935301
HART-single-vec,0.6092160383004189,0.6092160383004189,0.822262118491921,0.7281955611640704,0.8821065230400957,0.7476477346303406,0.6092160383004189,0.704484293218584
