serializer,model,alpha,Recall@1,nDCG@1,Recall@5,nDCG@5,Recall@10,nDCG@10,Hit@1,MRR
header_path,bge_large_en_v1_5,0.0,0.48773189706762415,0.48773189706762415,0.8533812088569719,0.6947522223934325,0.9108318372232196,0.7132427747659644,0.48773189706762415,0.6483758893543454
header_path,bge_large_en_v1_5,0.2,0.46858168761220825,0.46858168761220825,0.8515858767205267,0.686264530945273,0.9096349491322562,0.7050816357415823,0.46858168761220825,0.6377468581687612
header_path,bge_large_en_v1_5,0.4,0.46439257929383604,0.46439257929383604,0.8515858767205267,0.6837626219339682,0.9102333931777379,0.7028518721495435,0.46439257929383604,0.6346036020632071
header_path,bge_large_en_v1_5,0.6,0.4637941352483543,0.4637941352483543,0.8533812088569719,0.683280773604423,0.9108318372232196,0.7019437391084788,0.4637941352483543,0.6332454665488777
header_path,bge_large_en_v1_5,0.8,0.4614003590664273,0.4614003590664273,0.8527827648114902,0.6820140263447791,0.9102333931777379,0.7007838459652896,0.4614003590664273,0.6318248743742461
header_path,bge_large_en_v1_5,1.0,0.46020347097546377,0.46020347097546377,0.8515858767205267,0.6808632427255142,0.9114302812687014,0.700449205324707,0.46020347097546377,0.6310376354810826
header_path,multilingual_e5_large_instruct,0.0,0.4428485936564931,0.4428485936564931,0.812687013764213,0.6479837847118608,0.8683423099940155,0.6665812727769387,0.4428485936564931,0.6004039497307002
header_path,multilingual_e5_large_instruct,0.2,0.4464392579293836,0.4464392579293836,0.8120885697187313,0.6488746695664301,0.8677438659485338,0.6675397160207,0.4464392579293836,0.6018986349776296
header_path,multilingual_e5_large_instruct,0.4,0.4446439257929384,0.4446439257929384,0.8108916816277678,0.6474419775026533,0.8689407540394973,0.6669114775881391,0.4446439257929384,0.6007221699771071
header_path,multilingual_e5_large_instruct,0.6,0.4440454817474566,0.4440454817474566,0.8114901256732495,0.6473022587612604,0.8707360861759426,0.6671269129004457,0.4440454817474566,0.6004816049699353
header_path,multilingual_e5_large_instruct,0.8,0.4464392579293836,0.4464392579293836,0.8132854578096947,0.6488373680761907,0.8713345302214243,0.6681847524291277,0.4464392579293836,0.6017193392417809
header_path,multilingual_e5_large_instruct,1.0,0.44703770197486536,0.44703770197486536,0.8156792339916218,0.6506575365831279,0.8713345302214243,0.6691414365270196,0.44703770197486536,0.6029288136559231
json_kv,bge_large_en_v1_5,0.0,0.5589467384799521,0.5589467384799521,0.770197486535009,0.6732736514291494,0.8300418910831837,0.6927505707173666,0.5589467384799521,0.648984069989456
json_kv,multilingual_e5_large_instruct,0.0,0.6110113704368642,0.6110113704368642,0.7977259126271694,0.7125557588116508,0.8605625374027528,0.7328552139628891,0.6110113704368642,0.6924353822917557
plain_markdown,bge_large_en_v1_5,0.0,0.6086175942549371,0.6086175942549371,0.8216636744464393,0.7275971171185887,0.881508078994614,0.7470492905848588,0.6086175942549371,0.7038858491731023
plain_markdown,multilingual_e5_large_instruct,0.0,0.6193895870736086,0.6193895870736086,0.8096947935368043,0.7224148097897577,0.8755236385397965,0.7436388895333664,0.6193895870736086,0.7019347316025952
