model,complexity,n_queries,R@1,R@3,R@5,R@10,MRR
bge-small,simple,69,0.7391,0.8551,0.8551,0.942,0.809
bge-small,moderate,255,0.7765,0.9137,0.9333,0.9529,0.8472
bge-small,complex,1347,0.6548,0.7988,0.8374,0.8968,0.742
bge-base,simple,69,0.8406,0.9275,0.942,0.9565,0.8888
bge-base,moderate,255,0.7608,0.9059,0.9373,0.9569,0.8384
bge-base,complex,1347,0.6971,0.8478,0.8938,0.9265,0.7837
e5-small,simple,69,0.7971,0.913,0.9565,0.971,0.866
e5-small,moderate,255,0.7647,0.902,0.9333,0.9608,0.8389
e5-small,complex,1347,0.6652,0.8218,0.8701,0.9169,0.7577
