group,N,strict_recall,exact_set_match,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,fn,mean_predicted_cells,median_predicted_cells,p95_predicted_cells,mean_gold_cells,gold_to_predicted_cell_ratio,mean_context_tokens,median_context_tokens,derived_table_strict_recall,derived_table_precision,derived_table_recall,derived_table_f1
overall,7036,0.31097214326321776,0.13104036384309267,0.5153491725306854,0.525934625444708,0.4703404721131946,0.41979711890314514,0.47624802942722017,0.4462443683990251,9063,12526,9967,3.068362706083002,2.0,8,2.704661739624787,0.8814674139608134,88.5986355884025,61.0,0.7652075042637863,0.8892126208072768,0.8477828311540648,0.8478254690164867
single_cell,558,0.6612903225806451,0.13440860215053763,0.29731467664051137,0.6612903225806451,0.3743432987049619,0.199244060475162,0.6612903225806451,0.3062240663900415,369,1483,189,3.3189964157706093,3.0,9,1.0,0.30129589632829373,101.74731182795699,71.0,0.9516129032258065,0.9023297491039427,0.9516129032258065,0.9184587813620072
multi_cell,954,0.5146750524109015,0.25157232704402516,0.6022043080952275,0.6759165130234313,0.5919210486490063,0.5169445938676708,0.6047828823159219,0.5574245939675173,1922,1796,1256,3.89727463312369,3.0,10,3.331236897274633,0.8547606239913932,118.15828092243187,85.0,0.949685534591195,0.8981481481481481,0.95020964360587,0.9150943396226415
arithmetic,5524,0.24040550325850832,0.10988414192614047,0.5223736926932748,0.4863598246206757,0.45904042735335204,0.42274798676571573,0.4427880214463188,0.43253600740906334,6772,9247,8522,2.8998913830557567,2.0,8,2.768645908761767,0.9547412447718334,82.16545981173063,56.0,0.7145184648805214,0.8863444363987449,0.819605358435916,0.8290731354091239
all_table_questions,7036,0.31097214326321776,0.13104036384309267,0.5153491725306854,0.525934625444708,0.4703404721131946,0.41979711890314514,0.47624802942722017,0.4462443683990251,9063,12526,9967,3.068362706083002,2.0,8,2.704661739624787,0.8814674139608134,88.5986355884025,61.0,0.7652075042637863,0.8892126208072768,0.8477828311540648,0.8478254690164867
table_only_questions,2885,0.33830155979202775,0.14904679376083188,0.5155673009430435,0.5436577645686628,0.48104204609198553,0.41803637957484113,0.4986276303751144,0.45478929486797404,3815,5311,3836,3.163258232235702,2,9,2.651993067590988,0.8383738768354153,90.01005199306759,59,0.7847487001733102,0.882264586943963,0.8582322357019064,0.8502253032928944
hybrid_questions,4151,0.29197783666586363,0.11852565646832089,0.5151975703939345,0.5136168089251684,0.4629027364040133,0.4210864157907406,0.4612004569821601,0.4402315242009898,5248,7215,6131,3.002409058058299,2,8,2.7412671645386655,0.9130225467383455,87.61768248614791,61,0.751626114189352,0.8940415964024733,0.8405203565405927,0.8461575523970127
